ITEM: TIMESTEP
100000
ITEM: NUMBER OF ATOMS
500
ITEM: BOX BOUNDS pp pp pp
0 100
0 100
0 100
ITEM: ATOMS id x y z 
1 73.6226 76.2389 76.8564 
2 73.8238 76.1669 76.3436 
3 74.025 76.0949 75.8308 
4 74.2262 76.0228 75.318 
5 74.4275 75.9508 74.8051 
6 74.6287 75.8788 74.2923 
7 74.8299 75.8067 73.7795 
8 75.0311 75.7347 73.2667 
9 75.2323 75.6626 72.7539 
10 75.4335 75.5906 72.2411 
11 73.2008 0.33026 39.3859 
12 72.6717 0.165353 39.3471 
13 72.1426 0.000446698 39.3083 
14 71.6135 99.8355 39.2695 
15 71.0844 99.6706 39.2308 
16 70.5553 99.5057 39.192 
17 70.0262 99.3408 39.1532 
18 69.4971 99.1759 39.1144 
19 68.968 99.011 39.0756 
20 68.4389 98.8461 39.0369 
21 59.3166 27.7529 45.3439 
22 59.69 28.1572 45.4196 
23 60.0634 28.5616 45.4953 
24 60.4368 28.9659 45.571 
25 60.8102 29.3703 45.6468 
26 61.1835 29.7746 45.7225 
27 61.5569 30.1789 45.7982 
28 61.9303 30.5833 45.8739 
29 62.3037 30.9876 45.9496 
30 62.6771 31.392 46.0253 
31 96.0267 32.4761 85.0171 
32 95.7792 32.8771 85.3113 
33 95.5316 33.2781 85.6055 
34 95.284 33.6791 85.8997 
35 95.0364 34.08 86.1939 
36 94.7889 34.481 86.4881 
37 94.5413 34.882 86.7823 
38 94.2937 35.283 87.0765 
39 94.0461 35.684 87.3707 
40 93.7985 36.085 87.6649 
41 43.3519 66.3506 38.1653 
42 43.1652 66.7378 37.8133 
43 42.9786 67.1249 37.4613 
44 42.7919 67.5121 37.1093 
45 42.6052 67.8993 36.7573 
46 42.4186 68.2865 36.4054 
47 42.2319 68.6736 36.0534 
48 42.0453 69.0608 35.7014 
49 41.8586 69.448 35.3494 
50 41.6719 69.8351 34.9974 
51 22.01 44.9146 37.385 
52 21.7014 45.2437 37.0608 
53 21.3928 45.5728 36.7366 
54 21.0842 45.9019 36.4124 
55 20.7757 46.231 36.0881 
56 20.4671 46.5601 35.7639 
57 20.1585 46.8892 35.4397 
58 19.85 47.2183 35.1155 
59 19.5414 47.5474 34.7912 
60 19.2328 47.8764 34.467 
61 53.3166 0.531021 24.1403 
62 53.2469 0.893551 23.7252 
63 53.1772 1.25608 23.31 
64 53.1075 1.61861 22.8949 
65 53.0378 1.98114 22.4797 
66 52.9681 2.34367 22.0646 
67 52.8984 2.7062 21.6494 
68 52.8287 3.06873 21.2342 
69 52.759 3.43126 20.8191 
70 52.6893 3.79379 20.4039 
71 93.1556 23.8915 53.8341 
72 93.6704 23.737 53.6937 
73 94.1853 23.5824 53.5534 
74 94.7001 23.4279 53.413 
75 95.2149 23.2734 53.2727 
76 95.7298 23.1188 53.1323 
77 96.2446 22.9643 52.9919 
78 96.7595 22.8097 52.8516 
79 97.2743 22.6552 52.7112 
80 97.7891 22.5007 52.5708 
81 38.1908 59.0415 99.3507 
82 38.5782 58.7837 99.6541 
83 38.9656 58.5258 99.9575 
84 39.353 58.2679 0.260966 
85 39.7404 58.0101 0.564392 
86 40.1278 57.7522 0.867819 
87 40.5152 57.4943 1.17124 
88 40.9026 57.2365 1.47467 
89 41.29 56.9786 1.7781 
90 41.6774 56.7207 2.08152 
91 28.5151 13.0091 74.6651 
92 28.7296 13.3454 74.2784 
93 28.9441 13.6817 73.8917 
94 29.1587 14.018 73.5049 
95 29.3732 14.3542 73.1182 
96 29.5877 14.6905 72.7315 
97 29.8022 15.0268 72.3448 
98 30.0167 15.3631 71.9581 
99 30.2312 15.6993 71.5714 
100 30.4457 16.0356 71.1847 
101 18.6272 82.6243 92.9113 
102 19.0099 83.0181 92.9958 
103 19.3925 83.4119 93.0804 
104 19.7752 83.8057 93.1649 
105 20.1579 84.1994 93.2494 
106 20.5405 84.5932 93.334 
107 20.9232 84.987 93.4185 
108 21.3059 85.3808 93.503 
109 21.6885 85.7746 93.5875 
110 22.0712 86.1684 93.6721 
111 53.5136 46.2602 38.5322 
112 53.8329 45.9192 38.8329 
113 54.1522 45.5783 39.1337 
114 54.4715 45.2373 39.4344 
115 54.7908 44.8964 39.7352 
